NODE	INTERACTION	NODE
BLM	in catalysis with	MRE11
BLM	in catalysis with	NBN
BLM	in catalysis with	POLD1
BLM	in catalysis with	POLD2
BLM	in catalysis with	POLD3
BLM	in catalysis with	POLD4
BLM	in catalysis with	RAD50
BLM	in catalysis with	RPA1
BLM	in catalysis with	RPA2
BLM	in catalysis with	RPA3
BLM	controls state change of	RPA2
EME1	controls state change of	BLM
EME1	controls state change of	BRCA2
EME1	controls state change of	MRE11
EME1	controls state change of	NBN
EME1	controls state change of	RAD50
EME1	controls state change of	RAD51
EME1	controls state change of	RAD51B
EME1	controls state change of	RAD51C
EME1	controls state change of	RAD51D
EME1	controls state change of	TOP3A
EME1	controls state change of	XRCC2
EME1	controls state change of	XRCC3
EME1	interacts with	MUS81
MRE11	in catalysis with	POLD1
MRE11	in catalysis with	POLD2
MRE11	in catalysis with	POLD3
MRE11	in catalysis with	POLD4
MRE11	in catalysis with	RPA1
MRE11	in catalysis with	RPA2
MRE11	in catalysis with	RPA3
MRE11	controls state change of	NBN
MRE11	controls state change of	RPA2
MRE11	interacts with	BLM
MUS81	controls state change of	BLM
MUS81	controls state change of	BRCA2
MUS81	controls state change of	MRE11
MUS81	controls state change of	NBN
MUS81	controls state change of	RAD50
MUS81	controls state change of	RAD51
MUS81	controls state change of	RAD51B
MUS81	controls state change of	RAD51C
MUS81	controls state change of	RAD51D
MUS81	controls state change of	TOP3A
MUS81	controls state change of	XRCC2
MUS81	controls state change of	XRCC3
NBN	in catalysis with	POLD1
NBN	in catalysis with	POLD2
NBN	in catalysis with	POLD3
NBN	in catalysis with	POLD4
NBN	in catalysis with	RPA1
NBN	in catalysis with	RPA2
NBN	in catalysis with	RPA3
NBN	controls state change of	RPA2
NBN	interacts with	BLM
NBN	interacts with	MRE11
POLD1	controls state change of	BLM
POLD1	controls state change of	BRCA2
POLD1	controls state change of	MRE11
POLD1	controls state change of	NBN
POLD1	controls state change of	RAD50
POLD1	controls state change of	RAD51
POLD1	controls state change of	RAD51B
POLD1	controls state change of	RAD51C
POLD1	controls state change of	RAD51D
POLD1	controls state change of	RPA1
POLD1	controls state change of	RPA2
POLD1	controls state change of	RPA3
POLD1	controls state change of	TOP3A
POLD1	controls state change of	XRCC2
POLD1	controls state change of	XRCC3
POLD1	interacts with	POLD3
